ID	g1_01	g1_02	g1_03	g3_01	g3_02	g3_03	external_gene_name	chromosome_name	start_position	end_position	description
FBgn0039914	7.69476619283873	7.8186404412982	7.60201221252977	7.59573484986255	7.62211940664627	7.64461952146329	mav	4	623219	626031	maverick
FBgn0039915	6.18335463297733	7.03826671169268	6.86493444159121	4.69446829297513	5.39749868067485	5.10906235819274	Gat	4	629691	635350	GABA transporter
FBgn0039916	5.01874354680991	5.17467054995266	5.03132558798398	5.02655495709004	4.81111637384787	4.78728398368633	Ekar	4	636131	646556	Eye-enriched kainate receptor
FBgn0039920	7.43312378806841	7.70529719821152	7.49157483856586	7.70568437738468	7.34301390438267	7.78017423992817	CG11360	4	671142	690650	
FBgn0039923	8.64249104574559	8.79928579835775	8.67248967319517	8.64816527666688	8.75127891236606	8.67619836132639	MED26	4	778516	788978	Mediator complex subunit 26
FBgn0039924	7.71513221651371	7.55174930915798	7.73953103243652	7.81399570575756	7.98482442424537	7.89813019453525	PIP4K	4	1192419	1196848	Phosphatidylinositol 5-phosphate 4-kinase
FBgn0039925	3.29813644623976	2.00366222710273	3.35105286049119	2.53282554024893	3.27252958887279	0	Kif3C	4	1147466	1169239	Kinesin family member 3C
FBgn0039927	7.31355528295221	7.40573151019778	7.43301513245402	7.46111639802691	7.52367283721697	7.38018382191107	CG11155	4	1126602	1137919	
FBgn0039928	9.79215220132724	9.81383964924317	9.84446660145233	9.85315149181435	9.98209234439283	9.82312417439132	Cals	4	1112874	1123357	Calsyntenin
FBgn0039929	6.97374905936547	7.32677854695256	7.20202785535944	7.17603539075381	7.21215737382033	7.07736544955257	CG11076	4	1029711	1031757	
FBgn0039930	4.67500686920038	4.52823099225544	4.83853770137869	4.2623392534583	4.50197907510723	4.68042636039472	Mpv17	4	1028675	1029361	Mitochondrial inner membrane protein MPV17
FBgn0039932	3.88221019523277	3.17426439974704	3.7303035957227	3.40246015874987	3.91437421873652	3.68123224793066	fuss	4	962341	978489	fussel
FBgn0039936	9.2727908565247	9.342495277322	9.32919023957848	9.2749267709448	9.48980493569914	9.38222330338522	Gyf	4	853557	867025	Gigyf
FBgn0039937	3.14642948174508	2.00366222710273	2.61194992445598	1.95316234392806	1.0586101440245	1.98441346322714	fd102C	4	836986	844529	forkhead domain 102C
FBgn0039938	7.41663740906595	7.574710869035	7.27051788534577	7.39700191166644	7.04476342537562	7.10861310380098	Sox102F	4	800436	834393	Sox102F
FBgn0040324	8.03433639396385	8.06014502362411	8.13549641888235	8.2042005799656	8.1589074891205	8.18382253373407	Ephrin	4	571755	580122	Ephrin
FBgn0042696	7.11328117972067	7.9473756041524	7.70459349328409	7.32129423298162	6.94685251561844	6.72084326474035	NfI	4	268175	276369	Nuclear factor I
FBgn0051992	10.0597012431895	10.2492407245906	10.1615793291235	10.1672795489087	10.1176392270812	10.1727235730118	gw	4	649041	660608	gawky
FBgn0051997	8.85011421375151	8.97641475393275	8.85880293018726	8.05637759559174	9.13430974415395	8.7003291856252	CG31997	4	154654	156060	
FBgn0051998	8.77450022436439	8.54402661900933	8.48344463220564	8.63432784544433	8.56169853878714	8.4909904107482	CG31998	4	196675	205945	
FBgn0051999	7.73521473758718	7.9473756041524	7.78706435957217	7.71885709023921	7.72907798493668	7.66578262714577	CG31999	4	215009	227748	
FBgn0052000	9.48927677022706	9.37991299949321	9.26828603330206	9.49571150598372	9.3815390792001	9.3123681668731	anne	4	132220	143123	anne boleyn
FBgn0052006	3.67603283815406	4.70513320250163	4.67490185947875	4.33257610064813	4.01443875072587	4.37249598385265	CG32006	4	150764	153538	
FBgn0052010	2.30079942112151	1.58821827248209	1.01625295795877	1.54340475487262	2.08704584398109	1.98441346322714	CR32010	4	12640	25054	
FBgn0052016	8.40824585580092	8.4724726919503	8.57139773303439	8.53728392213221	8.51974743612002	8.52998301032222	4E-T	4	951542	958392	eIF4E-Transporter
FBgn0052017	6.46569022531701	6.3267480918676	6.29869619877671	6.41366005970822	6.20076921096667	6.35447237191731	CG32017	4	1137830	1162158	
FBgn0052850	7.30462318190035	6.92370387330824	7.29890381117434	6.83256267286603	7.07983211836649	7.21772391539408	Rnf11	4	314923	331387	Ring finger protein 11
FBgn0053481	5.88087604022876	5.95899862347436	5.4578460345104	5.49315943262828	5.94588247622884	6.04558245553487	dpr7	4	247124	253329	defective proboscis extension response 7
FBgn0053653	7.88054230861032	8.22886628409393	8.0601083715438	8.17582291798641	7.98482442424537	8.14917811864853	Cadps	4	1230837	1271759	Calcium-dependent secretion activator
FBgn0053978	10.0570443907769	10.0300157925217	10.0238152985332	10.0920800816335	10.3108250040634	9.87704774194632	CG33978	4	157575	175639	
FBgn0083990	1.56737683114761	2.58903106868591	2.61194992445598	0	2.08704584398109	1.57111614040935	lncRNA:sphinx	4	975168	977261	long non-coding RNA:sphinx
FBgn0085432	7.793837567411	7.65590835539644	7.67602120687986	7.73191061538092	7.42711987781015	7.81847566436529	pan	4	69326	114270	pangolin
FBgn0087002	13.4712698778367	13.0367537998169	13.3883610453055	13.3516325347852	13.8477271687508	13.6612986647015	apolpp	4	1060969	1077273	apolipophorin
FBgn0250819	8.00154875785214	8.54402661900933	8.68329702604906	7.41329962767108	7.90233448368803	7.13919828150267	CG33521	4	1185768	1192985	
FBgn0259214	10.3211823143899	10.61866726143	10.4958265877065	10.3874317973401	10.5060932177024	10.2365852797705	PMCA	4	328193	358917	plasma membrane calcium ATPase
FBgn0259216	5.25962721806951	4.8626938691152	4.83853770137869	4.64011178153487	4.91833593958015	4.62387507617449	RhoGAP102A	4	254997	265574	Rho GTPase activating protein at 102A
