ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	external_gene_name	chromosome_name	start_position	end_position	description
FBgn0024913	66.6650557022717	-0.134574531451551	0.244277579312315	-0.550908240659671	0.581696578122294	0.953283741398195	Actbeta	4	1077331	1084796	Activin-beta
FBgn0025726	984.018854307994	0.023787645696902	0.0894839919427146	0.265831297648525	0.790369138134492	0.966354793970559	unc-13	4	867824	912331	unc-13
FBgn0025740	220.888283666335	-0.137818094287564	0.147100577012146	-0.93689703389936	0.348811525084167	0.953283741398195	PlexB	4	32478	43778	Plexin B
FBgn0025741	799.18529337251	0.00338521737746556	0.0904253338666232	0.0374366035790228	0.97013688768005	0.97013688768005	PlexA	4	1009895	1027101	Plexin A
FBgn0025936	453.825662704578	0.0244067981872325	0.103260484530393	0.236361453253192	0.813152204682544	0.966354793970559	Eph	4	610684	622470	Eph receptor tyrosine kinase
FBgn0026199	250.236032932086	0.210473093777595	0.131566366055977	1.59974847741896	0.109654392816896	0.690804315629319	myo	4	690686	696055	myoglianin
FBgn0026262	540.432916079982	0.0740284475742707	0.0993119491953938	0.745413297936803	0.456021907318433	0.953283741398195	Taf3	4	459887	466828	TBP-associated factor 3
FBgn0026777	324.330556714354	0.128809694021701	0.129472958742499	0.994877194997012	0.319795995580844	0.953283741398195	Rad23	4	308093	310822	Rad23
FBgn0026869	611.284152837018	0.032015627253059	0.0930911644906184	0.343916927328645	0.730908761356719	0.953283741398195	Tdg	4	538332	557854	Thymine DNA glycosylase
FBgn0027101	362.082531856522	0.176490700809998	0.115459963670218	1.5285878775616	0.126366643102924	0.690804315629319	Dyrk3	4	1225089	1230713	Dual-specificity tyrosine phosphorylation-regulated kinase 3
FBgn0028996	133.467557787039	0.028009677189591	0.172704178089333	0.1621829737964	0.871161767231354	0.97013688768005	onecut	4	598555	607649	onecut
FBgn0039889	129.827632889974	-0.0212815470522345	0.167235632173864	-0.127254860555731	0.89873868582945	0.97013688768005	Arl4	4	177348	179389	ADP ribosylation factor-like 4
FBgn0039890	369.215372554793	0.0854942637589054	0.117759355108174	0.726008253699846	0.467833710741491	0.953283741398195	Abcd1	4	184076	193829	ATP binding cassette subfamily D member 1
FBgn0039896	112.04304642578	-0.830749582758643	0.194260634675326	-4.27646900334235	1.89880980815556e-05	0.00077851202134378	yellow-h	4	227922	230428	yellow-h
FBgn0039897	337.63651739778	-0.516608424786454	0.299641038797046	-1.72409102191228	0.0846914126120369	0.624547581003179	CG1674	4	230730	245903	
FBgn0039900	73.8221455253796	-0.483711648428835	0.219324440844897	-2.20546167388115	0.0274217143718201	0.249842286498805	Syt7	4	278685	306481	Synaptotagmin 7
FBgn0039902	260.922797088911	-0.0239090642086454	0.142383178350773	-0.167920568184981	0.866645768813597	0.97013688768005	Zip102B	4	310930	314087	Zinc/iron regulated transporter-related protein 102B
FBgn0039904	456.362717098952	0.0964904367202405	0.105053512652403	0.918488437787929	0.358363209414188	0.953283741398195	Hcf	4	359938	375554	Host cell factor
FBgn0039907	374.026251122273	0.0515374334756434	0.11635077420846	0.442948779896439	0.65780278319604	0.953283741398195	lgs	4	436957	443911	legless
FBgn0039908	259.599700072528	-0.185482626890205	0.131905994273657	-1.40617284234556	0.159672806389224	0.770186477877435	Asator	4	469409	488994	Asator
FBgn0039909	394.655219283551	-0.549019457099165	0.140177673609915	-3.91659700835792	8.98076872091336e-05	0.00238266207656096	ND-49	4	568296	571554	NADH dehydrogenase (ubiquinone) 49 kDa subunit
FBgn0039911	41.9649220784974	-0.261911770505253	0.300763998369741	-0.870821547541984	0.383851598087177	0.953283741398195	CG1909	4	583108	589348	
FBgn0039914	201.963221234363	-0.0876458129310124	0.13807113391257	-0.634787376965497	0.525567097124777	0.953283741398195	mav	4	623219	626031	maverick
FBgn0039915	69.5384897032842	-1.67990360032383	0.272133044318148	-6.17309670912242	6.6965221759213e-10	5.49114818425547e-08	Gat	4	629691	635350	GABA transporter
FBgn0039916	30.5867016088728	-0.2027549465504	0.371882558108538	-0.545212304609412	0.585607509764491	0.953283741398195	Ekar	4	636131	646556	Eye-enriched kainate receptor
FBgn0039920	191.069827818061	0.0769879053344707	0.153190052742861	0.5025646506154	0.615270387664075	0.953283741398195	CG11360	4	671142	690650	
FBgn0039923	414.721149987344	-0.0144596181533385	0.108824256330514	-0.132871279261699	0.894295181297847	0.97013688768005	MED26	4	778516	788978	Mediator complex subunit 26
FBgn0039924	220.395713275722	0.229408175372806	0.135605268395013	1.69173497525589	0.0906965166042448	0.624547581003179	PIP4K	4	1192419	1196848	Phosphatidylinositol 5-phosphate 4-kinase
FBgn0039925	5.75016133164163	-0.650901850633821	1.65502912647754	-0.393287248073488	0.694107335559522	0.953283741398195	Kif3C	4	1147466	1169239	Kinesin family member 3C
FBgn0039927	170.377150852142	0.0711059020196022	0.145678291011963	0.488102252749265	0.62547741550399	0.953283741398195	CG11155	4	1126602	1137919	
FBgn0039928	923.684311931693	0.0703389483004397	0.091412720158632	0.76946565180839	0.441616927629399	0.953283741398195	Cals	4	1112874	1123357	Calsyntenin
FBgn0039929	142.568558735785	-0.018691301769804	0.16098102106907	-0.116108729126426	0.907566370765504	0.97013688768005	CG11076	4	1029711	1031757	
FBgn0039930	23.1205092103542	-0.203381355713926	0.455378337812589	-0.44662062031951	0.655149004636206	0.953283741398195	Mpv17	4	1028675	1029361	Mitochondrial inner membrane protein MPV17
FBgn0039932	11.5874587305297	0.0570388811833201	0.773799555880703	0.0737127344540811	0.941238965728283	0.97013688768005	fuss	4	962341	978489	fussel
FBgn0039936	651.79445279515	0.0690074334540583	0.0952964222471282	0.724134566931634	0.468983124832769	0.953283741398195	Gyf	4	853557	867025	Gigyf
FBgn0039937	3.81504005324069	-1.20578631518646	2.18961375402586	-0.550684481666906	0.581849984410092	0.953283741398195	fd102C	4	836986	844529	forkhead domain 102C
FBgn0039938	158.080670230263	-0.23357179846757	0.159399103041632	-1.46532693102147	0.142831742296418	0.732012679269141	Sox102F	4	800436	834393	Sox102F
FBgn0040324	279.298907367735	0.106039520600257	0.123498043156133	0.858633204950429	0.390542912559646	0.953283741398195	Ephrin	4	571755	580122	Ephrin
FBgn0042696	162.777862612362	-0.612948857386501	0.197248853594048	-3.10749008786632	0.00188683312750012	0.0193400395568762	NfI	4	268175	276369	Nuclear factor I
FBgn0051992	1139.80830505858	-0.00590011030134932	0.0957587482804556	-0.061614321482871	0.950869971718624	0.97013688768005	gw	4	649041	660608	gawky
FBgn0051997	444.593960090046	-0.201528346284766	0.307518395922446	-0.655337530882512	0.512250461944541	0.953283741398195	CG31997	4	154654	156060	
FBgn0051998	383.014555581628	-0.043103150547155	0.118609203438665	-0.363404772121622	0.716302537468731	0.953283741398195	CG31998	4	196675	205945	
FBgn0051999	216.780313162481	-0.121893991302143	0.135393095783348	-0.900296950866639	0.367962243319859	0.953283741398195	CG31999	4	215009	227748	
FBgn0052000	670.050385766029	0.0165736184913508	0.0982182546872672	0.168742750969483	0.865998990510536	0.97013688768005	anne	4	132220	143123	anne boleyn
FBgn0052006	19.2388331878994	-0.181351715247305	0.542321835064524	-0.334398697455595	0.738078722173185	0.953283741398195	CG32006	4	150764	153538	
FBgn0052010	2.51289149850443	0.221894494098555	3.32854740046292	0.0666640631488965	0.946849144094971	0.97013688768005	CR32010	4	12640	25054	
FBgn0052016	362.919936291188	0.0439811227765883	0.113545850795798	0.387342403692798	0.698502737235394	0.953283741398195	4E-T	4	951542	958392	eIF4E-Transporter
FBgn0052017	80.3342206933524	-0.0388667986192985	0.204720720177339	-0.189852783761361	0.849424492546092	0.97013688768005	CG32017	4	1137830	1162158	
FBgn0052850	138.178888501642	-0.136403986368321	0.171198347092978	-0.796759949406753	0.42559045948293	0.953283741398195	Rnf11	4	314923	331387	Ring finger protein 11
FBgn0053481	55.3041774047142	0.0634030612358549	0.267340155736888	0.237162505801243	0.812530722617739	0.966354793970559	dpr7	4	247124	253329	defective proboscis extension response 7
FBgn0053653	270.491143191602	0.0439564875429149	0.134618597493207	0.326526114232717	0.744026334749811	0.953283741398195	Cadps	4	1230837	1271759	Calcium-dependent secretion activator
FBgn0053978	1074.64874542157	0.0664432361286193	0.111985361742717	0.593320725982654	0.552966530723761	0.953283741398195	CG33978	4	157575	175639	
FBgn0083990	2.88566814265616	-1.21604247264632	3.16789890503942	-0.383864040204021	0.701079220045936	0.953283741398195	lncRNA:sphinx	4	975168	977261	long non-coding RNA:sphinx
FBgn0085432	205.420062878673	-0.0391259450879381	0.144430535811239	-0.270898012447126	0.786469473728978	0.966354793970559	pan	4	69326	114270	pangolin
FBgn0087002	11438.0503046817	0.323746202235294	0.191784474109466	1.68807305043112	0.091397206976075	0.624547581003179	apolpp	4	1060969	1077273	apolipophorin
FBgn0250819	264.214731708029	-0.922978606094905	0.296410366155451	-3.11385400607363	0.00184660837526519	0.0193400395568762	CG33521	4	1185768	1192985	
FBgn0259214	1381.63912599188	-0.103099624426927	0.115361242834647	-0.893711110365763	0.371476479309653	0.953283741398195	PMCA	4	328193	358917	plasma membrane calcium ATPase
FBgn0259216	28.3077299507326	-0.279178537319888	0.398402336466721	-0.700745231054157	0.483462023203626	0.953283741398195	RhoGAP102A	4	254997	265574	Rho GTPase activating protein at 102A
